data,home,away
2025-05-24,Fluminense,Vasco
2025-05-24,Sao Paulo,Mirassol
2025-05-24,Atletico-MG,Corinthians
2025-05-25,Gremio,Bahia
2025-05-25,Palmeiras,Flamengo RJ
2025-05-25,Sport Recife,Internacional
2025-05-25,Vitoria,Santos
2025-05-25,Fortaleza,Cruzeiro
2025-05-26,Bragantino,Juventude
2025-05-31,Bahia,Sao Paulo
2025-05-31,Vasco,Bragantino
2025-06-01,Internacional,Fluminense
2025-06-01,Cruzeiro,Palmeiras
2025-06-01,Corinthians,Vitoria
2025-06-01,Flamengo RJ,Fortaleza
2025-06-01,Santos,Botafogo RJ
2025-06-01,Juventude,Gremio
2025-06-01,Mirassol,Sport Recife
2025-06-01,Ceara,Atletico-MG
2025-06-04,Botafogo RJ,Ceara
2025-06-11,Botafogo RJ,Mirassol
2025-06-11,Fluminense,Ceara
2025-06-11,Palmeiras,Juventude
2025-06-11,Sport Recife,Flamengo RJ
2025-06-12,Sao Paulo,Vasco
2025-06-12,Atletico-MG,Internacional
2025-06-12,Gremio,Corinthians
2025-06-12,Bragantino,Bahia
2025-06-12,Vitoria,Cruzeiro
2025-06-12,Fortaleza,Santos
2025-07-13,Juventude,Sport Recife
2025-07-13,Vasco,Botafogo RJ
2025-07-13,Santos,Palmeiras
2025-07-13,Internacional,Vitoria
2025-07-13,Mirassol,Fluminense
2025-07-13,Flamengo RJ,Sao Paulo
2025-07-13,Bahia,Atletico-MG
2025-07-13,Corinthians,Bragantino
2025-07-13,Fortaleza,Ceara
2025-07-13,Cruzeiro,Gremio
2025-07-17,Atletico-MG,Sport Recife
2025-07-17,Bahia,Internacional
2025-07-17,Botafogo RJ,Vitoria
2025-07-17,Bragantino,Sao Paulo
2025-07-17,Fluminense,Cruzeiro
2025-07-17,Gremio,Fortaleza
2025-07-17,Juventude,Vasco
2025-07-17,Palmeiras,Mirassol
2025-07-17,Santos,Flamengo RJ
2025-07-17,Ceara,Corinthians
2025-07-20,Palmeiras,Atletico-MG
2025-07-20,Vasco,Gremio
2025-07-20,Sport Recife,Botafogo RJ
2025-07-20,Sao Paulo,Corinthians
2025-07-20,Vitoria,Bragantino
2025-07-20,Mirassol,Santos
2025-07-20,Fortaleza,Bahia
2025-07-20,Flamengo RJ,Fluminense
2025-07-20,Cruzeiro,Juventude
2025-07-20,Internacional,Ceara
2025-07-24,Vitoria,Sport Recife
2025-07-24,Vasco,Bahia
2025-07-24,Santos,Internacional
2025-07-24,Juventude,Sao Paulo
2025-07-24,Gremio,Botafogo RJ
2025-07-24,Corinthians,Cruzeiro
2025-07-24,Ceara,Mirassol
2025-07-24,Bragantino,Flamengo RJ
2025-07-24,Atletico-MG,Fortaleza
2025-07-24,Fluminense,Palmeiras
2025-07-27,Mirassol,Vitoria
2025-07-27,Sport Recife,Santos
2025-07-27,Sao Paulo,Fluminense
2025-07-27,Palmeiras,Gremio
2025-07-27,Internacional,Vasco
2025-07-27,Cruzeiro,Ceara
2025-07-27,Flamengo RJ,Atletico-MG
2025-07-27,Fortaleza,Bragantino
2025-07-27,Botafogo RJ,Corinthians
2025-07-27,Bahia,Juventude
2025-08-03,Vitoria,Palmeiras
2025-08-03,Sport Recife,Bahia
2025-08-03,Santos,Juventude
2025-08-03,Mirassol,Vasco
2025-08-03,Internacional,Sao Paulo
2025-08-03,Fluminense,Gremio
2025-08-03,Corinthians,Fortaleza
2025-08-03,Ceara,Flamengo RJ
2025-08-03,Botafogo RJ,Cruzeiro
2025-08-03,Atletico-MG,Bragantino
2025-08-10,Vasco,Atletico-MG
2025-08-10,Sao Paulo,Vitoria
2025-08-10,Palmeiras,Ceara
2025-08-10,Juventude,Corinthians
2025-08-10,Gremio,Sport Recife
2025-08-10,Flamengo RJ,Mirassol
2025-08-10,Cruzeiro,Santos
2025-08-10,Bragantino,Internacional
2025-08-10,Bahia,Fluminense
2025-08-10,Fortaleza,Botafogo RJ
2025-08-17,Fluminense,Fortaleza
2025-08-17,Atletico-MG,Gremio
2025-08-17,Botafogo RJ,Palmeiras
2025-08-17,Ceara,Bragantino
2025-08-17,Corinthians,Bahia
2025-08-17,Internacional,Flamengo RJ
2025-08-17,Mirassol,Cruzeiro
2025-08-17,Santos,Vasco
2025-08-17,Sport Recife,Sao Paulo
2025-08-17,Vitoria,Juventude
2025-08-24,Palmeiras,Sport Recife
2025-08-24,Juventude,Botafogo RJ
2025-08-24,Vasco,Corinthians
2025-08-24,Sao Paulo,Atletico-MG
2025-08-24,Gremio,Ceara
2025-08-24,Bahia,Santos
2025-08-24,Flamengo RJ,Vitoria
2025-08-24,Cruzeiro,Internacional
2025-08-24,Bragantino,Fluminense
2025-08-24,Fortaleza,Mirassol
2025-08-31,Vitoria,Atletico-MG
2025-08-31,Sport Recife,Vasco
2025-08-31,Santos,Fluminense
2025-08-31,Mirassol,Bahia
2025-08-31,Internacional,Fortaleza
2025-08-31,Cruzeiro,Sao Paulo
2025-08-31,Corinthians,Palmeiras
2025-08-31,Ceara,Juventude
2025-08-31,Botafogo RJ,Bragantino
2025-08-31,Flamengo RJ,Gremio
2025-09-14,Juventude,Flamengo RJ
2025-09-14,Vasco,Ceara
2025-09-14,Sao Paulo,Botafogo RJ
2025-09-14,Palmeiras,Internacional
2025-09-14,Gremio,Mirassol
2025-09-14,Atletico-MG,Santos
2025-09-14,Fluminense,Corinthians
2025-09-14,Bragantino,Sport Recife
2025-09-14,Bahia,Cruzeiro
2025-09-14,Fortaleza,Vitoria
2025-09-21,Palmeiras,Fortaleza
2025-09-21,Vitoria,Fluminense
2025-09-21,Sport Recife,Corinthians
2025-09-21,Santos,Sao Paulo
2025-09-21,Mirassol,Juventude
2025-09-21,Internacional,Gremio
2025-09-21,Flamengo RJ,Vasco
2025-09-21,Cruzeiro,Bragantino
2025-09-21,Ceara,Bahia
2025-09-21,Botafogo RJ,Atletico-MG
2025-09-28,Sao Paulo,Ceara
2025-09-28,Juventude,Internacional
2025-09-28,Gremio,Vitoria
2025-09-28,Fortaleza,Sport Recife
2025-09-28,Vasco,Cruzeiro
2025-09-28,Corinthians,Flamengo RJ
2025-09-28,Bragantino,Santos
2025-09-28,Bahia,Palmeiras
2025-09-28,Atletico-MG,Mirassol
2025-09-28,Fluminense,Botafogo RJ
2025-10-02,Vitoria,Ceara
2025-10-02,Sport Recife,Fluminense
2025-10-02,Santos,Gremio
2025-10-02,Palmeiras,Vasco
2025-10-02,Mirassol,Bragantino
2025-10-02,Internacional,Corinthians
2025-10-02,Flamengo RJ,Cruzeiro
2025-10-02,Botafogo RJ,Bahia
2025-10-02,Atletico-MG,Juventude
2025-10-02,Fortaleza,Sao Paulo
2025-10-16,Internacional,Botafogo RJ
2025-10-16,Sao Paulo,Palmeiras
2025-10-16,Juventude,Fortaleza
2025-10-16,Fluminense,Atletico-MG
2025-10-16,Vasco,Vitoria
2025-10-16,Corinthians,Mirassol
2025-10-16,Bahia,Flamengo RJ
2025-10-16,Cruzeiro,Sport Recife
2025-10-16,Ceara,Santos
2025-10-16,Bragantino,Gremio
2025-10-26,Vitoria,Bahia
2025-10-26,Sport Recife,Ceara
2025-10-26,Santos,Corinthians
2025-10-26,Mirassol,Internacional
2025-10-26,Palmeiras,Bragantino
2025-10-26,Fortaleza,Vasco
2025-10-26,Fluminense,Juventude
2025-10-26,Botafogo RJ,Flamengo RJ
2025-10-26,Atletico-MG,Cruzeiro
2025-10-26,Gremio,Sao Paulo
2025-11-05,Vasco,Fluminense
2025-11-05,Santos,Vitoria
2025-11-05,Mirassol,Sao Paulo
2025-11-05,Juventude,Bragantino
2025-11-05,Internacional,Sport Recife
2025-11-05,Flamengo RJ,Palmeiras
2025-11-05,Corinthians,Atletico-MG
2025-11-05,Ceara,Botafogo RJ
2025-11-05,Bahia,Gremio
2025-11-05,Cruzeiro,Fortaleza
2025-11-19,Vitoria,Corinthians
2025-11-19,Sport Recife,Mirassol
2025-11-19,Sao Paulo,Bahia
2025-11-19,Palmeiras,Cruzeiro
2025-11-19,Gremio,Juventude
2025-11-19,Fortaleza,Flamengo RJ
2025-11-19,Bragantino,Vasco
2025-11-19,Botafogo RJ,Santos
2025-11-19,Atletico-MG,Ceara
2025-11-19,Fluminense,Internacional
2025-11-23,Juventude,Palmeiras
2025-11-23,Vasco,Sao Paulo
2025-11-23,Santos,Fortaleza
2025-11-23,Internacional,Atletico-MG
2025-11-23,Mirassol,Botafogo RJ
2025-11-23,Cruzeiro,Vitoria
2025-11-23,Corinthians,Gremio
2025-11-23,Flamengo RJ,Sport Recife
2025-11-23,Ceara,Fluminense
2025-11-23,Bahia,Bragantino
2025-11-30,Vitoria,Internacional
2025-11-30,Sport Recife,Juventude
2025-11-30,Sao Paulo,Flamengo RJ
2025-11-30,Palmeiras,Santos
2025-11-30,Gremio,Cruzeiro
2025-11-30,Fluminense,Mirassol
2025-11-30,Ceara,Fortaleza
2025-11-30,Bragantino,Corinthians
2025-11-30,Botafogo RJ,Vasco
2025-11-30,Atletico-MG,Bahia
2025-12-04,Vitoria,Botafogo RJ
2025-12-04,Vasco,Juventude
2025-12-04,Sport Recife,Atletico-MG
2025-12-04,Sao Paulo,Bragantino
2025-12-04,Mirassol,Palmeiras
2025-12-04,Internacional,Bahia
2025-12-04,Fortaleza,Gremio
2025-12-04,Flamengo RJ,Santos
2025-12-04,Cruzeiro,Fluminense
2025-12-04,Corinthians,Ceara
2025-12-07,Santos,Mirassol
2025-12-07,Juventude,Cruzeiro
2025-12-07,Gremio,Vasco
2025-12-07,Fluminense,Flamengo RJ
2025-12-07,Corinthians,Sao Paulo
2025-12-07,Bragantino,Vitoria
2025-12-07,Botafogo RJ,Sport Recife
2025-12-07,Bahia,Fortaleza
2025-12-07,Atletico-MG,Palmeiras
2025-12-07,Ceara,Internacional
2025-12-11,Mirassol,Ceara
2025-12-11,Sao Paulo,Juventude
2025-12-11,Palmeiras,Fluminense
2025-12-11,Sport Recife,Vitoria
