id_jogo;nacao;campeonato;ano;dia;home;away;endereco
ppvnLT2l;BRAZIL;SERIE B;2024;25.06.2024;Ponte Preta;Ceara;https://www.flashscore.com/match/ppvnLT2l/#/
6RIANMOn;BRAZIL;SERIE B;2024;25.06.2024;Amazonas;Coritiba;https://www.flashscore.com/match/6RIANMOn/#/
MNCwHx8U;BRAZIL;SERIE B;2024;28.06.2024;Avai;Amazonas;https://www.flashscore.com/match/MNCwHx8U/#/
bLslytgn;BRAZIL;SERIE B;2024;29.06.2024;Coritiba;Vila Nova FC;https://www.flashscore.com/match/bLslytgn/#/
z7ARJvOB;BRAZIL;SERIE B;2024;29.06.2024;Botafogo SP;Sport Recife;https://www.flashscore.com/match/z7ARJvOB/#/
WYudZJNb;BRAZIL;SERIE B;2024;29.06.2024;Ceara;Ituano;https://www.flashscore.com/match/WYudZJNb/#/
hrshz08h;BRAZIL;SERIE B;2024;30.06.2024;Paysandu PA;Operario;https://www.flashscore.com/match/hrshz08h/#/
hrLMKK85;BRAZIL;SERIE B;2024;30.06.2024;Guarani;Ponte Preta;https://www.flashscore.com/match/hrLMKK85/#/
rXDZHIhO;BRAZIL;SERIE B;2024;01.07.2024;Santos;Chapecoense-SC;https://www.flashscore.com/match/rXDZHIhO/#/
novpxMwt;BRAZIL;SERIE B;2024;01.07.2024;CRB;Brusque;https://www.flashscore.com/match/novpxMwt/#/
vuHIL0ga;BRAZIL;SERIE B;2024;02.07.2024;Goias;America MG;https://www.flashscore.com/match/vuHIL0ga/#/
Ec9VIbwI;BRAZIL;SERIE B;2024;02.07.2024;Novorizontino;Mirassol;https://www.flashscore.com/match/Ec9VIbwI/#/
MNfvnc74;BRAZIL;SERIE B;2024;05.07.2024;Ceara;Santos;https://www.flashscore.com/match/MNfvnc74/#/
n52RlaNo;BRAZIL;SERIE B;2024;05.07.2024;Brusque;Ponte Preta;https://www.flashscore.com/match/n52RlaNo/#/
IkSHUexU;BRAZIL;SERIE B;2024;06.07.2024;America MG;Operario;https://www.flashscore.com/match/IkSHUexU/#/
lAz1Yww5;BRAZIL;SERIE B;2024;06.07.2024;Goias;Chapecoense-SC;https://www.flashscore.com/match/lAz1Yww5/#/
Qe1VmJxh;BRAZIL;SERIE B;2024;07.07.2024;Coritiba;Paysandu PA;https://www.flashscore.com/match/Qe1VmJxh/#/
zRxDVyNN;BRAZIL;SERIE B;2024;07.07.2024;Ituano;Botafogo SP;https://www.flashscore.com/match/zRxDVyNN/#/
S0Z4XchB;BRAZIL;SERIE B;2024;07.07.2024;Guarani;Sport Recife;https://www.flashscore.com/match/S0Z4XchB/#/
8Kjzmwhb;BRAZIL;SERIE B;2024;08.07.2024;Amazonas;Vila Nova FC;https://www.flashscore.com/match/8Kjzmwhb/#/
KbEqQFpo;BRAZIL;SERIE B;2024;09.07.2024;Avai;Novorizontino;https://www.flashscore.com/match/KbEqQFpo/#/
MNY8WH7H;BRAZIL;SERIE B;2024;09.07.2024;Mirassol;CRB;https://www.flashscore.com/match/MNY8WH7H/#/
fygnpyxH;BRAZIL;SERIE B;2024;12.07.2024;Ponte Preta;Mirassol;https://www.flashscore.com/match/fygnpyxH/#/
CCmiqeiN;BRAZIL;SERIE B;2024;12.07.2024;Botafogo SP;Amazonas;https://www.flashscore.com/match/CCmiqeiN/#/
GbZGaGy4;BRAZIL;SERIE B;2024;12.07.2024;Paysandu PA;Ceara;https://www.flashscore.com/match/GbZGaGy4/#/
j3nerF6T;BRAZIL;SERIE B;2024;13.07.2024;Novorizontino;Guarani;https://www.flashscore.com/match/j3nerF6T/#/
nPUC0dMc;BRAZIL;SERIE B;2024;13.07.2024;Operario;Goias;https://www.flashscore.com/match/nPUC0dMc/#/
8YV81x7i;BRAZIL;SERIE B;2024;13.07.2024;CRB;Coritiba;https://www.flashscore.com/match/8YV81x7i/#/
GpfroHMA;BRAZIL;SERIE B;2024;14.07.2024;Vila Nova FC;Avai;https://www.flashscore.com/match/GpfroHMA/#/
