data,home,away
2024-09-21,Ceara,Vila Nova FC
2024-09-21,Brusque,Amazonas
2024-09-21,Botafogo SP,CRB
2024-09-28,Vila Nova FC,Botafogo SP
2024-09-28,Santos,Operario
2024-09-28,Paysandu PA,Ituano
2024-09-28,Novorizontino,Ponte Preta
2024-09-28,Ceara,Brusque
2024-09-28,Guarani,Avai
2024-09-28,CRB,America MG
2024-09-28,Coritiba,Goias
2024-09-28,Chapecoense-SC,Amazonas
2024-09-28,Mirassol,Sport Recife
2024-10-05,Sport Recife,Ceara
2024-10-05,Ponte Preta,Botafogo SP
2024-10-05,Operario,Chapecoense-SC
2024-10-05,Mirassol,Vila Nova FC
2024-10-05,Ituano,Guarani
2024-10-05,Goias,Santos
2024-10-05,CRB,Paysandu PA
2024-10-05,Avai,Brusque
2024-10-05,America MG,Coritiba
2024-10-05,Amazonas,Novorizontino
2024-10-12,Santos,Mirassol
2024-10-12,Paysandu PA,Chapecoense-SC
2024-10-12,Novorizontino,Sport Recife
2024-10-12,Guarani,CRB
2024-10-12,Avai,America MG
2024-10-12,Coritiba,Amazonas
2024-10-12,Ceara,Ponte Preta
2024-10-12,Brusque,Ituano
2024-10-12,Botafogo SP,Operario
2024-10-12,Goias,Vila Nova FC
2024-10-19,Vila Nova FC,Coritiba
2024-10-19,Sport Recife,Botafogo SP
2024-10-19,Ponte Preta,Guarani
2024-10-19,Operario,Paysandu PA
2024-10-19,Chapecoense-SC,Santos
2024-10-19,Ituano,Ceara
2024-10-19,Brusque,CRB
2024-10-19,America MG,Goias
2024-10-19,Amazonas,Avai
2024-10-19,Mirassol,Novorizontino
2024-10-23,Vila Nova FC,Amazonas
2024-10-23,Sport Recife,Guarani
2024-10-23,Santos,Ceara
2024-10-23,Ponte Preta,Brusque
2024-10-23,Paysandu PA,Coritiba
2024-10-23,Operario,America MG
2024-10-23,Novorizontino,Avai
2024-10-23,CRB,Mirassol
2024-10-23,Chapecoense-SC,Goias
2024-10-23,Botafogo SP,Ituano
2024-10-26,Mirassol,Ponte Preta
2024-10-26,Ituano,Santos
2024-10-26,Guarani,Novorizontino
2024-10-26,Goias,Operario
2024-10-26,Amazonas,Botafogo SP
2024-10-26,Ceara,Paysandu PA
2024-10-26,Brusque,Chapecoense-SC
2024-10-26,Avai,Vila Nova FC
2024-10-26,America MG,Sport Recife
2024-10-26,Coritiba,CRB
2024-11-06,Santos,Vila Nova FC
2024-11-06,Mirassol,Coritiba
2024-11-06,Operario,Sport Recife
2024-11-06,Ituano,CRB
2024-11-06,Ponte Preta,Paysandu PA
2024-11-06,Chapecoense-SC,Novorizontino
2024-11-06,Ceara,Avai
2024-11-06,Brusque,Botafogo SP
2024-11-06,Amazonas,America MG
2024-11-06,Goias,Guarani
2024-11-16,Vila Nova FC,Ponte Preta
2024-11-16,Sport Recife,Chapecoense-SC
2024-11-16,Paysandu PA,Brusque
2024-11-16,Novorizontino,Operario
2024-11-16,Guarani,Amazonas
2024-11-16,Coritiba,Santos
2024-11-16,Botafogo SP,Ceara
2024-11-16,Avai,Mirassol
2024-11-16,America MG,Ituano
2024-11-16,CRB,Goias
2024-11-23,Vila Nova FC,Ituano
2024-11-23,Santos,CRB
2024-11-23,Ponte Preta,Sport Recife
2024-11-23,Operario,Mirassol
2024-11-23,Ceara,America MG
2024-11-23,Chapecoense-SC,Coritiba
2024-11-23,Brusque,Guarani
2024-11-23,Botafogo SP,Avai
2024-11-23,Amazonas,Goias
2024-11-23,Novorizontino,Paysandu PA
2024-11-26,America MG,Brusque
2024-11-26,Avai,Ponte Preta
2024-11-26,Coritiba,Botafogo SP
2024-11-26,CRB,Operario
2024-11-26,Goias,Novorizontino
2024-11-26,Guarani,Ceara
2024-11-26,Ituano,Amazonas
2024-11-26,Mirassol,Chapecoense-SC
2024-11-26,Paysandu PA,Vila Nova FC
2024-11-26,Sport Recife,Santos
